0.498361 0.624989
0.501639 0.73078
0.537705 0.724601
0.554098 0.622142
0.567213 0.715174
0.583607 0.619126
0.590164 0.708911
0.606557 0.420555
0.609836 0.452627
0.613115 0.696238
0.616393 0.612926
0.62623 0.471963
0.632787 0.686749
0.639344 0.603457
0.642623 0.481683
0.64918 0.674033
0.655738 0.353562
0.662295 0.485015
0.672131 0.658155
0.681967 0.356936
0.685246 0.600546
0.691803 0.472383
0.698361 0.616656
0.701639 0.600652
0.704918 0.453237
0.704918 0.453237
0.714754 0.427659
0.718033 0.543064
0.721311 0.398855
0.72459 0.565542
0.734426 0.536759
0.737705 0.565626
0.744262 0.418232
0.747541 0.434279
0.747541 0.434279
0.75082 0.424685
